Attributes,Values
Formerly,Hero Honda
Type,Public
Traded as,BSE: 500182NSE: HEROMOTOCONSE NIFTY 50 Constituent
ISIN,INE158A01026
Industry,Automotive
Founded,19 January 1984; 37 years ago (1984-01-19)
Founder,Brijmohan Lall Munjal
Headquarters,"New Delhi, India"
Key people,"Pawan Munjal (Chairman, MD & CEO)[1]"
Products,MotorcyclesScooters
Production output," 7,587,130 units (2018)"
Revenue," ₹29,614 crore (US$4.2 billion) (2020)[2]"
Operating income," ₹3,958 crore (US$550 million) (2020)[2]"
Net income," ₹3,633 crore (US$510 million) (2020)[2]"
Total assets," ₹18,749 crore (US$2.6 billion) (2020)[2]"
Total equity," ₹14,096 crore (US$2.0 billion) (2020)[2]"
Owner,Munjal family (39.92%)
Number of employees,"8,599 (2020)[2]"
Website,Hero Motocorp
