Attributes,Values
Type,Public
Traded as,BSE: 500086NSE: EXIDEIND
Industry,"Battery Manufacturing, Insurance services"
Founded,1947
Headquarters,"Kolkata, West Bengal, India"
Area served,Worldwide
Key people,Bharat Dhirajlal Shah  (Chairman)  Gautam Chatterjee  (CEO)  A K Mukherjee  (CFO)  Uttio Majumdar  (CMO)[1]
Revenue,"₹9,186 crore (US$1.3 billion) (2018)"
Operating income,"₹1,244 crore (US$170 million) (2018)"
Net income,₹668 crore (US$94 million) (2018)
Total assets,"₹7,751 crore (US$1.1 billion) (2018)"
Owner,Rajan Raheja Group[2][3]
Subsidiaries,Exide Life Insurance
Website,www.exideindustries.com
